client_number,customer_name,card_category,annual_fees,activation,customer_execuation_cast,week_start,week_number,quater,current_year,credit_limit,total_revolving_balance,total_transection_amount,total_transection_count,average_utilization_ratio,use_chip,expendeture_type,interest_earn,deliquent_account
C100191,Ahmed Hussain,Silver,50,1,44.74,2024-11-25,48,4,2024,8272,3525.29,1647.62,22,0.4262,chip,Fuel,876.88,0
C100192,Nadia Farooq,Silver,50,0,46.2,2024-01-22,4,1,2024,7277,4133.31,1594.12,18,0.568,online,Fuel,611.72,0
C100193,Zara Nazir,Silver,50,1,58.96,2024-01-29,5,1,2024,5151,1285.15,803.81,8,0.2495,online,Grocery,213.16,0
C100194,Hamza Khalil,Blue,20,1,51.65,2024-01-15,3,1,2024,3015,1211.5,326.56,7,0.4018,chip,Education,252.71,0
C100195,Noman Shah,Gold,150,1,119.05,2024-05-20,21,2,2024,17142,1608.67,9875.17,37,0.0938,online,Healthcare,419.35,0
C100196,Tariq Hussain,Gold,150,1,30.41,2024-01-29,5,1,2024,18963,9200.5,14717.13,44,0.4852,online,Grocery,1437.93,0
C100197,Nadia Sheikh,Blue,20,1,11.68,2024-11-04,45,4,2024,2521,742.03,52.46,1,0.2943,chip,Shopping,172.76,1
C100198,Sara Ullah,Blue,20,0,49.41,2024-12-23,52,4,2024,3467,1975.99,652.72,10,0.5699,swipe,Healthcare,540.89,1
C100199,Hassan Sheikh,Silver,50,1,74.72,2024-06-17,25,2,2024,7298,1829.0,1410.55,18,0.2506,chip,Bills,540.82,1
C100200,Leen Shah,Silver,50,1,35.37,2024-04-01,14,2,2024,3162,388.24,103.72,2,0.1228,chip,Shopping,74.56,0
C100201,Rana Rashid,Blue,20,1,40.36,2024-02-05,6,1,2024,3906,1465.45,782.99,10,0.3752,online,Grocery,267.37,0
C100202,Mumtaz Pervez,Gold,150,1,43.75,2024-12-02,49,4,2024,15315,1599.69,12541.03,34,0.1045,online,Fuel,402.41,0
C100203,Nadia Malik,Blue,20,1,26.15,2024-11-11,46,4,2024,2853,1509.26,766.33,8,0.529,chip,Education,250.67,1
C100204,Asad Batool,Gold,150,0,153.39,2024-11-04,45,4,2024,17006,3677.09,10190.14,32,0.2162,online,Education,545.19,0
C100205,Hafsa Sheikh,Platinum,300,1,431.92,2024-04-08,15,2,2024,39237,20782.72,73938.6,90,0.5297,online,Fuel,5807.24,0
C100206,Imran Abbasi,Blue,20,1,42.72,2024-09-23,39,3,2024,2309,1192.8,251.75,5,0.5166,online,Travel,285.56,0
C100207,Tariq Malik,Platinum,300,1,371.77,2024-09-02,36,3,2024,22287,12168.62,13421.7,43,0.546,online,Bills,2431.62,0
C100208,Noman Riaz,Blue,20,1,31.92,2024-03-18,12,1,2024,3988,2106.22,660.76,7,0.5281,online,Education,333.05,0
C100209,Sara Pervez,Silver,50,0,80.27,2024-04-22,17,2,2024,7116,506.27,1707.91,17,0.0711,online,Shopping,94.16,0
C100210,Sara Hussain,Silver,50,1,54.15,2024-07-15,29,3,2024,4825,1770.13,721.45,6,0.3669,chip,Shopping,420.58,1
C100211,Zara Ullah,Blue,20,1,16.53,2024-06-17,25,2,2024,2081,592.26,124.16,4,0.2846,chip,Travel,84.38,1
C100212,Naveed Khalil,Gold,150,1,46.51,2024-08-26,35,3,2024,18508,5461.55,17575.34,36,0.2951,online,Fuel,1563.79,1
C100213,Hassan Khan,Blue,20,1,10.73,2024-10-07,41,4,2024,2887,1446.37,129.79,2,0.501,swipe,Fuel,248.61,0
C100214,Ali Abbasi,Blue,20,1,34.31,2024-01-22,4,1,2024,2221,423.06,45.41,1,0.1905,chip,Healthcare,100.3,0
C100215,Salma Farooq,Blue,20,1,23.04,2024-09-09,37,3,2024,2427,1364.01,623.9,11,0.562,swipe,Bills,386.36,1
C100216,Rohail Yousaf,Blue,20,1,43.28,2024-08-05,32,3,2024,3227,2002.84,549.7,8,0.6207,chip,Fuel,577.49,1
C100217,Kiran Iqbal,Blue,20,1,33.02,2024-09-23,39,3,2024,3003,1531.96,243.45,4,0.5101,online,Grocery,290.41,0
C100218,Mumtaz Shah,Gold,150,1,124.78,2024-01-08,2,1,2024,15989,2556.98,6928.92,32,0.1599,online,Education,491.65,1
C100219,Nadia Nawaz,Blue,20,1,31.03,2024-01-29,5,1,2024,2796,1267.5,158.72,6,0.4533,online,Utilities,301.27,0
C100220,Zain Abbasi,Silver,50,1,59.47,2024-03-04,10,1,2024,7910,1669.12,1253.46,11,0.211,chip,Shopping,255.99,0
C100221,Omar Pervez,Gold,150,1,106.51,2024-12-16,51,4,2024,20233,2828.66,17280.6,38,0.1398,online,Travel,830.43,0
C100222,Aisha Khalil,Gold,150,1,169.03,2024-05-27,22,2,2024,13305,4290.98,12967.61,25,0.3225,chip,Food,1198.4,0
C100223,Ahmed Zafar,Platinum,300,1,304.89,2024-09-30,40,4,2024,20919,4794.14,20385.37,33,0.2292,online,Entertainment,1358.22,1
C100224,Yasir Sheikh,Silver,50,1,50.76,2024-11-25,48,4,2024,7976,1468.3,2126.25,15,0.1841,online,Entertainment,375.52,1
C100225,Asad Iqbal,Platinum,300,1,374.45,2024-07-15,29,3,2024,35867,20677.85,50726.68,71,0.5765,online,Travel,5553.37,0
C100226,Rana Nawaz,Platinum,300,1,245.72,2024-02-12,7,1,2024,29555,9607.17,31070.75,57,0.3251,swipe,Healthcare,2204.36,1
C100227,Tariq Pervez,Blue,20,1,17.07,2024-02-19,8,1,2024,4076,531.05,592.63,8,0.1303,chip,Shopping,139.48,0
C100228,Maryam Farooq,Gold,150,1,187.04,2024-12-16,51,4,2024,19539,3354.89,15719.57,44,0.1717,online,Shopping,574.34,0
C100229,Farah Nazir,Platinum,300,1,279.66,2024-01-29,5,1,2024,34885,9006.5,81091.1,83,0.2582,chip,Healthcare,1943.85,0
C100230,Noor Khan,Blue,20,1,18.15,2024-08-12,33,3,2024,3887,811.66,693.52,7,0.2088,chip,Travel,148.95,1
C100231,Asad Nawaz,Silver,50,1,28.16,2024-11-04,45,4,2024,8545,1818.64,4302.31,25,0.2128,chip,Education,331.61,0
C100232,Asad Farooq,Gold,150,1,170.14,2024-09-23,39,3,2024,17103,7522.42,12976.89,39,0.4398,online,Healthcare,1855.75,0
C100233,Ibrahim Qureshi,Platinum,300,1,317.91,2024-04-01,14,2,2024,19046,7427.03,17383.19,47,0.39,online,Bills,2226.79,0
C100234,Zubair Anjum,Blue,20,1,43.94,2024-08-12,33,3,2024,3100,1862.36,294.8,6,0.6008,chip,Fuel,329.87,1
C100235,Rana Rashid,Blue,20,1,46.02,2024-08-19,34,3,2024,3512,1899.81,713.18,10,0.5409,chip,Education,369.9,0
C100236,Zara Batool,Blue,20,1,12.35,2024-09-30,40,4,2024,3127,1682.09,838.08,10,0.5379,online,Entertainment,406.65,0
C100237,Omar Naeem,Silver,50,1,25.88,2024-04-08,15,2,2024,8301,1738.51,3941.73,19,0.2094,chip,Utilities,466.7,0
C100238,Ateeq Nawaz,Silver,50,1,50.87,2024-10-07,41,4,2024,8280,858.63,3128.61,16,0.1037,chip,Fuel,168.97,0
C100239,Aisha Sheikh,Silver,50,1,33.85,2024-09-02,36,3,2024,8147,1386.49,3673.12,22,0.1702,swipe,Healthcare,372.17,0
C100240,Kiran Ahmed,Blue,20,1,33.04,2024-02-05,6,1,2024,2356,1014.31,238.82,4,0.4305,online,Education,176.21,0
C100241,Farah Malik,Platinum,300,1,232.32,2024-11-18,47,4,2024,24773,10489.91,12846.79,44,0.4234,swipe,Travel,2016.17,0
C100242,Hussain Iqbal,Silver,50,1,29.7,2024-03-04,10,1,2024,6305,555.26,984.6,8,0.0881,swipe,Travel,108.18,0
C100243,Noor Zafar,Platinum,300,1,246.86,2024-09-16,38,3,2024,26098,11682.97,18675.07,48,0.4477,online,Grocery,2147.13,1
C100244,Zubair Javed,Blue,20,1,19.84,2024-09-30,40,3,2024,3014,1778.41,323.89,5,0.59,chip,Bills,402.07,0
C100245,Rida Yousaf,Blue,20,1,26.65,2024-11-04,45,4,2024,3294,868.62,886.57,9,0.2637,online,Fuel,189.65,1
C100246,Ateeq Ahmed,Blue,20,1,15.2,2024-10-21,43,4,2024,1995,320.7,169.54,4,0.1608,online,Utilities,92.47,0
C100247,Sara Nazir,Gold,150,1,123.24,2024-11-11,46,4,2024,13708,4474.34,5887.13,21,0.3264,swipe,Entertainment,751.78,0
C100248,Maryam Siddiqui,Blue,20,1,16.77,2024-07-22,30,3,2024,3155,1605.1,308.52,4,0.5087,online,Education,314.91,1
C100249,Fatima Butt,Silver,50,1,49.38,2024-04-08,15,2,2024,7687,1329.33,2246.0,22,0.1729,online,Fuel,347.88,0
C100250,Zara Hashmi,Platinum,300,1,245.53,2024-07-22,30,3,2024,36229,7215.41,42129.82,71,0.1992,chip,Shopping,2061.42,0
C100251,Zain Zafar,Blue,20,1,36.1,2024-08-12,33,3,2024,1295,355.19,51.76,1,0.2743,chip,Travel,75.25,1
C100252,Yahya Aslam,Platinum,300,1,193.02,2024-03-18,12,1,2024,32011,2087.93,43529.81,67,0.0652,online,Fuel,550.47,0
C100253,Yasir Abbasi,Blue,20,0,39.05,2024-08-26,35,3,2024,2508,1954.69,146.67,4,0.7794,online,Entertainment,574.36,1
C100254,Hassan Aslam,Silver,50,0,60.11,2024-04-15,16,2,2024,5192,3127.87,718.17,8,0.6024,swipe,Shopping,920.02,1
C100255,Yahya Siddiqui,Silver,50,1,67.52,2024-12-09,50,4,2024,8432,2066.44,2609.8,15,0.2451,online,Entertainment,309.74,0
C100256,Zain Iqbal,Blue,20,1,16.86,2024-07-01,27,3,2024,2076,1157.04,286.44,6,0.5573,online,Shopping,163.26,1
C100257,Fatima Yousaf,Silver,50,1,62.71,2024-05-27,22,2,2024,8048,3636.15,1669.42,15,0.4518,chip,Healthcare,708.09,0
C100258,Zubair Javed,Gold,150,1,178.71,2024-11-04,45,4,2024,13174,3123.93,3403.5,19,0.2371,chip,Travel,519.52,0
C100259,Rehan Nawaz,Gold,150,1,125.9,2024-07-01,27,3,2024,10125,4285.46,4611.44,27,0.4233,chip,Utilities,1215.96,0
C100260,Rehan Shah,Blue,20,1,10.14,2024-12-30,1,4,2024,4017,1634.73,374.73,5,0.407,online,Education,273.99,0
C100261,Sara Nazir,Platinum,300,1,75.57,2024-11-04,45,4,2024,44565,16808.79,109180.9,108,0.3772,online,Travel,4004.45,0
C100262,Salma Hashmi,Gold,150,1,143.33,2024-09-16,38,3,2024,20663,7143.76,9743.81,39,0.3457,swipe,Bills,1239.08,0
C100263,Kiran Sheikh,Silver,50,1,48.63,2024-06-17,25,2,2024,6222,702.56,1077.49,12,0.1129,swipe,Grocery,132.45,0
C100264,Rida Sheikh,Gold,150,1,129.14,2024-12-16,51,4,2024,18461,2944.69,9523.7,37,0.1595,swipe,Food,749.01,0
C100265,Khalid Mir,Gold,150,1,113.53,2024-10-21,43,4,2024,15159,4113.33,5896.28,23,0.2713,chip,Food,1124.51,0
C100266,Noor Shah,Gold,150,1,140.42,2024-07-08,28,3,2024,8850,882.1,3520.39,16,0.0997,chip,Utilities,179.28,1
C100267,Ali Rashid,Blue,20,1,25.48,2024-03-18,12,1,2024,4029,1236.08,557.37,6,0.3068,online,Utilities,354.29,0
C100268,Salma Ullah,Silver,50,1,77.41,2024-01-29,5,1,2024,6616,1641.96,2798.58,12,0.2482,swipe,Travel,448.7,0
C100269,Zubair Zafar,Platinum,300,1,370.05,2024-07-08,28,3,2024,33871,5113.98,44988.48,66,0.151,online,Travel,1184.84,0
C100270,Mumtaz Zafar,Silver,50,1,45.49,2024-12-09,50,4,2024,3003,337.24,72.07,1,0.1123,swipe,Entertainment,68.81,0
C100271,Yasir Qureshi,Blue,20,1,21.52,2024-05-27,22,2,2024,3466,2972.47,339.12,5,0.8576,online,Utilities,497.44,0
C100272,Rana Zafar,Silver,50,1,79.92,2024-05-20,21,2,2024,8891,1421.73,3285.83,24,0.1599,online,Grocery,252.23,0
C100273,Mumtaz Aslam,Platinum,300,1,299.12,2024-06-24,26,2,2024,41587,20116.95,54040.18,100,0.4837,chip,Entertainment,3802.69,1
C100274,Hassan Nawaz,Platinum,300,1,259.68,2024-09-02,36,3,2024,30217,8197.84,22668.78,58,0.2713,chip,Utilities,1868.94,0
C100275,Ibrahim Ullah,Silver,50,1,48.02,2024-02-19,8,1,2024,6598,708.46,1102.13,10,0.1074,swipe,Fuel,155.02,0
C100276,Fatima Batool,Platinum,300,1,56.78,2024-04-29,18,2,2024,24574,3391.98,19924.92,47,0.138,chip,Grocery,620.42,0
C100277,Naveed Anjum,Gold,150,1,64.59,2024-10-07,41,4,2024,16367,2739.66,6527.25,36,0.1674,chip,Healthcare,771.96,0
C100278,Naveed Siddiqui,Gold,150,1,105.0,2024-05-27,22,2,2024,11586,875.79,5653.56,19,0.0756,online,Entertainment,144.51,0
C100279,Hassan Mir,Silver,50,1,34.4,2024-01-15,3,1,2024,7783,4401.65,4234.04,18,0.5655,chip,Healthcare,905.82,0
C100280,Omar Ullah,Platinum,300,0,66.39,2024-07-22,30,3,2024,17218,8717.1,11037.56,35,0.5063,online,Travel,1573.3,0
C100281,Yahya Saleem,Blue,20,1,40.8,2024-11-04,45,4,2024,2458,997.06,340.7,7,0.4056,chip,Shopping,174.48,0
C100282,Mumtaz Shah,Silver,50,0,71.46,2024-09-09,37,3,2024,5025,2624.77,842.15,8,0.5223,online,Entertainment,440.81,1
C100283,Ali Zafar,Blue,20,1,42.09,2024-05-06,19,2,2024,4529,3288.75,326.23,7,0.7262,swipe,Travel,614.79,1
C100284,Hamza Naeem,Blue,20,1,52.82,2024-04-08,15,2,2024,2776,375.22,306.79,6,0.1352,chip,Fuel,96.28,0
C100285,Rehan Pervez,Silver,50,1,73.3,2024-07-22,30,3,2024,9602,2226.7,2343.2,20,0.2319,swipe,Grocery,311.75,0
C100286,Hussain Siddiqui,Blue,20,1,19.0,2024-05-13,20,2,2024,3576,1308.0,583.08,6,0.3658,online,Utilities,202.99,0
C100287,Ibrahim Zafar,Blue,20,1,22.47,2024-01-01,1,1,2024,4202,387.61,1065.33,13,0.0922,online,Shopping,100.99,0
C100288,Fatima Batool,Blue,20,1,30.0,2024-07-22,30,3,2024,3562,656.39,475.45,4,0.1843,swipe,Bills,103.24,0
C100289,Maryam Khalil,Blue,20,1,60.66,2024-05-27,22,2,2024,2807,392.14,97.03,2,0.1397,online,Fuel,57.51,0
C100290,Hussain Siddiqui,Blue,20,1,53.65,2024-11-04,45,4,2024,1983,183.08,286.52,6,0.0923,online,Healthcare,36.14,0
C100291,Naveed Abbasi,Silver,50,1,42.52,2024-04-15,16,2,2024,5619,682.06,1789.69,14,0.1214,chip,Fuel,197.5,0
C100292,Hassan Shah,Silver,50,1,39.61,2024-02-05,6,1,2024,9385,877.38,2953.35,17,0.0935,swipe,Grocery,139.0,1
C100293,Zubair Saleem,Silver,50,1,45.73,2024-03-11,11,1,2024,5971,788.11,2115.79,11,0.132,chip,Shopping,170.54,0
C100294,Latif Anjum,Gold,150,1,189.64,2024-09-02,36,3,2024,15393,2872.53,12417.56,29,0.1866,chip,Bills,656.02,0
C100295,Fatima Farooq,Blue,20,1,41.95,2024-10-14,42,4,2024,3541,1510.61,595.99,8,0.4266,chip,Bills,394.0,0
C100296,Maryam Hashmi,Blue,20,1,44.43,2024-01-01,1,1,2024,3138,516.03,513.95,7,0.1644,swipe,Utilities,149.52,0
C100297,Ahmed Iqbal,Blue,20,1,27.33,2024-01-29,5,1,2024,974,283.76,53.68,2,0.2913,chip,Education,42.2,1
C100298,Sara Butt,Gold,150,1,160.36,2024-11-25,48,4,2024,12503,2812.21,5498.98,23,0.2249,online,Shopping,753.57,0
C100299,Nadia Farooq,Platinum,300,1,376.92,2024-07-08,28,3,2024,38458,11803.24,50016.76,80,0.3069,chip,Bills,2834.01,1
C100300,Farah Anjum,Blue,20,1,14.54,2024-09-23,39,3,2024,3711,1328.69,390.71,6,0.358,chip,Utilities,270.58,0
C100301,Ateeq Sheikh,Silver,50,1,8.59,2024-08-05,32,3,2024,5117,525.1,1397.72,9,0.1026,swipe,Healthcare,147.28,0
C100302,Hafsa Farooq,Blue,20,1,36.56,2024-02-26,9,1,2024,2412,1272.1,64.55,1,0.5274,chip,Healthcare,203.93,0
C100303,Ateeq Qureshi,Blue,20,1,30.63,2024-01-15,3,1,2024,2825,701.72,219.62,6,0.2484,online,Fuel,153.22,0
C100304,Fatima Qureshi,Gold,150,1,102.66,2024-04-29,18,2,2024,19159,10402.25,16224.99,35,0.5429,swipe,Utilities,1754.29,0
C100305,Fatima Malik,Silver,50,1,62.41,2024-10-21,43,4,2024,6150,564.7,1743.57,13,0.0918,online,Fuel,115.14,0
C100306,Zara Qureshi,Blue,20,1,33.88,2024-12-02,49,4,2024,3040,2490.94,474.55,9,0.8194,swipe,Utilities,745.9,1
C100307,Ibrahim Hussain,Silver,50,1,57.97,2024-03-25,13,1,2024,8656,2144.41,2646.98,16,0.2477,swipe,Healthcare,497.71,0
C100308,Fatima Nawaz,Platinum,300,1,239.66,2024-09-23,39,3,2024,22640,2163.89,15840.97,46,0.0956,online,Healthcare,393.36,0
C100309,Maryam Aslam,Blue,20,1,37.38,2024-04-29,18,2,2024,2500,610.08,459.2,5,0.244,chip,Entertainment,87.75,0
C100310,Sara Naeem,Silver,50,1,62.81,2024-07-29,31,3,2024,6951,874.35,1483.01,10,0.1258,online,Bills,149.87,0
C100311,Nadia Qureshi,Blue,20,1,41.23,2024-02-05,6,1,2024,991,273.61,94.78,5,0.2761,online,Shopping,64.05,1
C100312,Yasir Hussain,Blue,20,1,53.04,2024-11-04,45,4,2024,2147,364.36,30.13,1,0.1697,chip,Grocery,51.82,0
C100313,Rida Hashmi,Gold,150,1,184.17,2024-04-15,16,2,2024,10310,5135.2,9272.72,27,0.4981,online,Entertainment,759.37,0
C100314,Mohammad Rashid,Platinum,300,0,283.61,2024-02-26,9,1,2024,37049,8225.32,62132.63,68,0.222,swipe,Education,1692.02,0
C100315,Tariq Khalil,Blue,20,1,36.72,2024-10-07,41,4,2024,3628,833.86,534.21,10,0.2298,online,Entertainment,170.82,0
C100316,Mumtaz Mir,Silver,50,1,33.33,2024-09-16,38,3,2024,8146,1371.89,1589.21,15,0.1684,online,Education,261.63,1
C100317,Naveed Abbasi,Gold,150,1,132.42,2024-07-08,28,3,2024,14894,4680.32,8656.05,26,0.3142,online,Healthcare,903.58,1
C100318,Bilal Hashmi,Blue,20,1,56.65,2024-10-21,43,4,2024,3113,1012.57,305.95,5,0.3253,swipe,Healthcare,192.46,0
C100319,Yasir Zafar,Blue,20,1,42.35,2024-04-29,18,2,2024,3472,1820.53,480.8,6,0.5243,online,Bills,464.71,0
C100320,Hamza Javed,Gold,150,1,239.29,2024-11-18,47,4,2024,18687,6399.23,15923.29,37,0.3424,swipe,Education,1267.54,0
C100321,Farah Butt,Blue,20,1,34.34,2024-04-01,14,2,2024,3749,664.49,695.05,7,0.1772,swipe,Food,131.0,0
C100322,Aisha Pervez,Gold,150,1,133.49,2024-07-29,31,3,2024,15118,8591.36,6084.92,29,0.5683,chip,Utilities,1773.46,1
C100323,Sara Khan,Blue,20,1,46.79,2024-01-29,5,1,2024,2550,1402.1,233.57,5,0.5498,swipe,Fuel,208.57,0
C100324,Rana Khan,Blue,20,1,25.55,2024-01-01,1,1,2024,2902,1235.81,34.35,1,0.4258,chip,Bills,258.14,0
C100325,Mumtaz Sheikh,Blue,20,1,30.41,2024-12-09,50,4,2024,2769,923.08,201.51,5,0.3334,online,Travel,204.39,1
C100326,Zain Shah,Blue,20,1,33.33,2024-09-23,39,3,2024,1424,264.06,118.19,4,0.1854,online,Shopping,71.93,0
C100327,Rehan Ahmed,Silver,50,1,34.36,2024-10-14,42,4,2024,6170,1560.42,440.44,6,0.2529,chip,Utilities,341.53,0
C100328,Hassan Mir,Platinum,300,1,177.77,2024-01-15,3,1,2024,27890,2794.66,31594.69,73,0.1002,chip,Healthcare,675.15,0
C100329,Zubair Siddiqui,Blue,20,1,32.17,2024-03-25,13,1,2024,2559,961.68,335.34,4,0.3758,chip,Education,179.1,0
C100330,Hamza Yousaf,Platinum,300,0,111.15,2024-09-23,39,3,2024,31484,7651.65,20939.24,64,0.243,chip,Utilities,1861.54,1
C100331,Kiran Siddiqui,Blue,20,0,31.96,2024-12-16,51,4,2024,3013,1590.09,124.19,3,0.5277,online,Bills,258.54,0
C100332,Ahmed Butt,Platinum,300,1,210.01,2024-04-15,16,2,2024,21711,6729.34,18702.72,49,0.31,swipe,Travel,1016.44,0
C100333,Rehan Ullah,Blue,20,1,15.01,2024-04-29,18,2,2024,3689,326.34,329.64,7,0.0885,swipe,Healthcare,88.71,0
C100334,Mumtaz Zafar,Silver,50,1,47.0,2024-12-16,51,4,2024,8242,1533.16,2526.89,20,0.186,swipe,Grocery,364.23,0
C100335,Farah Hussain,Blue,20,1,22.75,2024-02-05,6,1,2024,3917,1170.18,129.26,3,0.2987,online,Fuel,267.55,0
C100336,Tariq Aslam,Platinum,300,1,110.98,2024-11-18,47,4,2024,41575,15715.84,59938.28,78,0.378,online,Education,2324.95,0
C100337,Farah Aziz,Platinum,300,1,225.97,2024-12-09,50,4,2024,40566,15844.71,33760.66,73,0.3906,swipe,Healthcare,3109.75,1
C100338,Salma Sheikh,Gold,150,1,126.87,2024-02-12,7,1,2024,16608,453.74,13466.82,38,0.0273,online,Travel,108.77,0
C100339,Sara Hashmi,Silver,50,1,65.7,2024-02-12,7,1,2024,6167,629.85,2237.52,16,0.1021,chip,Entertainment,152.15,0
C100340,Ibrahim Anjum,Blue,20,1,37.03,2024-08-12,33,3,2024,2742,1214.66,220.76,5,0.443,swipe,Bills,219.06,0
C100341,Zain Khan,Blue,20,1,17.57,2024-10-28,44,4,2024,3759,873.05,80.6,1,0.2323,swipe,Shopping,206.07,0
C100342,Mohammad Sheikh,Silver,50,1,67.75,2024-10-07,41,4,2024,7258,2221.82,2128.3,13,0.3061,chip,Fuel,614.84,0
C100343,Nadia Butt,Blue,20,1,40.24,2024-09-09,37,3,2024,4204,759.79,557.35,8,0.1807,chip,Grocery,187.45,0
C100344,Ibrahim Iqbal,Blue,20,1,37.06,2024-07-01,27,3,2024,1498,292.14,106.62,4,0.195,online,Utilities,48.67,0
C100345,Rana Nazir,Gold,150,1,189.99,2024-03-04,10,1,2024,18757,3949.25,9116.53,48,0.2105,online,Food,886.94,0
C100346,Hamza Pervez,Gold,150,1,131.66,2024-06-17,25,2,2024,19921,2597.17,8369.05,34,0.1304,online,Shopping,751.25,0
C100347,Tariq Malik,Blue,20,1,30.06,2024-12-16,51,4,2024,1638,455.29,54.34,2,0.278,chip,Education,99.07,0
C100348,Rehan Zafar,Blue,20,1,58.69,2024-09-02,36,3,2024,2783,938.48,163.12,3,0.3372,swipe,Utilities,139.31,0
C100349,Ibrahim Pervez,Gold,150,1,116.2,2024-10-14,42,4,2024,15596,2227.87,9349.71,38,0.1428,chip,Fuel,424.38,0
C100350,Omar Batool,Gold,150,1,106.74,2024-08-19,34,3,2024,20531,6787.84,10558.71,31,0.3306,swipe,Utilities,1473.79,0
C100351,Yahya Pervez,Gold,150,1,81.15,2024-07-22,30,3,2024,10751,1261.14,5045.57,19,0.1173,swipe,Education,245.83,0
C100352,Maryam Qureshi,Blue,20,1,32.31,2024-07-29,31,3,2024,4763,1686.18,785.89,6,0.354,online,Grocery,345.71,0
C100353,Tariq Siddiqui,Silver,50,1,56.58,2024-12-16,51,4,2024,5484,792.32,1997.36,16,0.1445,online,Bills,149.08,1
C100354,Asad Khalil,Platinum,300,1,307.2,2024-11-18,47,4,2024,32080,13307.39,31071.93,63,0.4148,chip,Grocery,2308.24,0
C100355,Farah Butt,Gold,150,1,106.08,2024-11-25,48,4,2024,14685,2583.59,8587.48,34,0.1759,swipe,Healthcare,397.54,0
C100356,Hamza Naeem,Silver,50,1,67.19,2024-05-06,19,2,2024,6663,3928.61,1362.24,12,0.5896,chip,Bills,1031.07,0
C100357,Zubair Yousaf,Gold,150,1,151.17,2024-07-08,28,3,2024,11343,792.67,3025.61,13,0.0699,online,Education,158.81,0
C100358,Rida Khalil,Silver,50,1,44.12,2024-01-08,2,1,2024,8329,1999.23,5751.3,22,0.24,online,Grocery,352.93,0
C100359,Hassan Anjum,Gold,150,1,113.03,2024-06-24,26,2,2024,21350,875.97,13630.57,42,0.041,online,Shopping,206.42,0
C100360,Sana Shah,Silver,50,1,32.38,2024-08-12,33,3,2024,7311,2121.56,3472.15,17,0.2902,swipe,Education,629.35,0
C100361,Maryam Hussain,Gold,150,1,123.2,2024-06-24,26,2,2024,15295,7817.22,4608.04,39,0.5111,swipe,Grocery,2303.52,0
C100362,Noor Ullah,Platinum,300,1,198.52,2024-03-25,13,1,2024,11584,2020.77,7219.84,29,0.1744,swipe,Travel,463.22,0
C100363,Leen Farooq,Blue,20,1,7.66,2024-04-01,14,2,2024,3255,2316.14,326.97,5,0.7116,chip,Healthcare,451.38,1
C100364,Salma Saleem,Blue,20,1,29.89,2024-07-15,29,3,2024,2227,569.55,249.8,5,0.2557,chip,Utilities,118.77,0
C100365,Aisha Yousaf,Blue,20,1,28.08,2024-04-01,14,2,2024,2113,1552.78,229.0,8,0.7349,online,Shopping,318.0,1
C100366,Ali Javed,Gold,150,1,81.9,2024-11-18,47,4,2024,16813,5027.96,7009.55,27,0.2991,online,Fuel,1463.91,0
C100367,Rehan Yousaf,Blue,20,1,39.57,2024-08-19,34,3,2024,2569,1289.01,27.68,1,0.5018,swipe,Travel,331.67,0
C100368,Maryam Ullah,Gold,150,1,215.44,2024-03-04,10,1,2024,10072,1402.79,8273.37,19,0.1393,online,Grocery,418.66,0
C100369,Ali Butt,Silver,50,1,18.58,2024-07-15,29,3,2024,7629,847.53,2971.45,19,0.1111,online,Fuel,196.83,0
C100370,Nadia Iqbal,Blue,20,1,42.88,2024-12-16,51,4,2024,4208,3122.21,297.78,4,0.742,swipe,Travel,506.77,0
C100371,Rana Sheikh,Blue,20,1,42.68,2024-08-12,33,3,2024,3377,451.23,440.42,7,0.1336,swipe,Food,101.15,0
C100372,Mohammad Siddiqui,Blue,20,1,16.55,2024-10-14,42,4,2024,3394,802.47,199.81,3,0.2364,swipe,Education,237.52,0
C100373,Rana Iqbal,Gold,150,1,56.6,2024-03-25,13,1,2024,13240,7241.99,3044.16,22,0.547,chip,Fuel,1870.84,1
C100374,Bilal Sheikh,Blue,20,1,36.1,2024-05-27,22,2,2024,3148,733.98,205.65,4,0.2332,chip,Education,130.8,0
C100375,Rana Aziz,Silver,50,1,41.53,2024-05-13,20,2,2024,7189,1180.01,1294.09,17,0.1641,swipe,Shopping,327.25,0
C100376,Ahmed Abbasi,Gold,150,1,168.28,2024-08-05,32,3,2024,13772,3717.46,8149.09,30,0.2699,chip,Utilities,976.2,0
C100377,Ahmed Farooq,Blue,20,1,22.93,2024-02-12,7,1,2024,3749,3091.79,575.79,11,0.8247,online,Grocery,745.36,0
C100378,Hafsa Rashid,Gold,150,1,121.31,2024-06-24,26,2,2024,13038,468.46,4018.92,22,0.0359,swipe,Fuel,75.57,0
C100379,Noor Nazir,Blue,20,1,33.81,2024-04-15,16,2,2024,2517,503.98,351.5,8,0.2002,chip,Fuel,114.54,0
C100380,Ibrahim Nazir,Silver,50,1,34.57,2024-12-23,52,4,2024,7605,1027.64,3412.67,19,0.1351,online,Entertainment,280.04,0
C100381,Rohail Saleem,Gold,150,1,129.5,2024-07-29,31,3,2024,12999,3850.88,3935.34,19,0.2962,chip,Entertainment,1053.58,0
C100382,Hussain Khalil,Platinum,300,1,283.84,2024-12-30,1,4,2024,25636,8428.82,22108.31,56,0.3288,online,Utilities,2158.22,0
